FEN:ID,:LABEL,Parameter Name,Data Type
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.calcHash(int,int,int).q1",Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.calcHash(int,int,int).q2",Parameter_2,q2,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.calcHash(int,int,int).q3",Parameter_3,q3,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.calcHash(int[],int).q",Parameter_1,q,int[]
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.calcHash(int[],int).qlen",Parameter_2,qlen,int
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.nukeSymbols(boolean).fill,Parameter_1,fill,boolean
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._calcTertiaryShift(int).primarySlots,Parameter_1,primarySlots,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(int,int).sz",Parameter_1,sz,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(int,int).seed",Parameter_2,seed,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(ByteQuadsCanonicalizer,int,TableInfo,boolean,boolean).parent",Parameter_1,parent,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(ByteQuadsCanonicalizer,int,TableInfo,boolean,boolean).seed",Parameter_2,seed,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(ByteQuadsCanonicalizer,int,TableInfo,boolean,boolean).state",Parameter_3,state,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(ByteQuadsCanonicalizer,int,TableInfo,boolean,boolean).intern",Parameter_4,intern,boolean
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(ByteQuadsCanonicalizer,int,TableInfo,boolean,boolean).failOnDoS",Parameter_5,failOnDoS,boolean
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.<init>(TableInfo).state,Parameter_1,state,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.createInitial(int).sz,Parameter_1,sz,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(int,int,int,int[],String[],int,int).size",Parameter_1,size,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(int,int,int,int[],String[],int,int).count",Parameter_2,count,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(int,int,int,int[],String[],int,int).tertiaryShift",Parameter_3,tertiaryShift,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(int,int,int,int[],String[],int,int).mainHash",Parameter_4,mainHash,int[]
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(int,int,int,int[],String[],int,int).names",Parameter_5,names,java.lang.String[]
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(int,int,int,int[],String[],int,int).spilloverEnd",Parameter_6,spilloverEnd,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(int,int,int,int[],String[],int,int).longNameOffset",Parameter_7,longNameOffset,int
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo.<init>(ByteQuadsCanonicalizer).src,Parameter_1,src,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer
com.fasterxml.jackson.core.sym.Name1.equals(int).quad,Parameter_1,quad,int
"com.fasterxml.jackson.core.sym.Name1.equals(int,int).quad1",Parameter_1,quad1,int
"com.fasterxml.jackson.core.sym.Name1.equals(int,int).quad2",Parameter_2,quad2,int
"com.fasterxml.jackson.core.sym.Name1.equals(int,int,int).q1",Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.Name1.equals(int,int,int).q2",Parameter_2,q2,int
"com.fasterxml.jackson.core.sym.Name1.equals(int,int,int).q3",Parameter_3,q3,int
"com.fasterxml.jackson.core.sym.Name1.equals(int[],int).quads",Parameter_1,quads,int[]
"com.fasterxml.jackson.core.sym.Name1.equals(int[],int).qlen",Parameter_2,qlen,int
"com.fasterxml.jackson.core.sym.Name1.<init>(String,int,int).name",Parameter_1,name,java.lang.String
"com.fasterxml.jackson.core.sym.Name1.<init>(String,int,int).hash",Parameter_2,hash,int
"com.fasterxml.jackson.core.sym.Name1.<init>(String,int,int).quad",Parameter_3,quad,int
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._thresholdSize(int).hashAreaSize,Parameter_1,hashAreaSize,int
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.createRoot(int).seed,Parameter_1,seed,int
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.createRoot(TokenStreamFactory).owner,Parameter_1,owner,com.fasterxml.jackson.core.TokenStreamFactory
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.createRoot(TokenStreamFactory,int).owner",Parameter_1,owner,com.fasterxml.jackson.core.TokenStreamFactory
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.createRoot(TokenStreamFactory,int).seed",Parameter_2,seed,int
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.makeChild(int).flags,Parameter_1,flags,int
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.mergeChild(TableInfo).childState,Parameter_1,childState,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.findSymbol(char[],int,int,int).buffer",Parameter_1,buffer,char[]
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.findSymbol(char[],int,int,int).start",Parameter_2,start,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.findSymbol(char[],int,int,int).len",Parameter_3,len,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.findSymbol(char[],int,int,int).h",Parameter_4,h,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._findSymbol2(char[],int,int,Bucket).buffer",Parameter_1,buffer,char[]
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._findSymbol2(char[],int,int,Bucket).start",Parameter_2,start,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._findSymbol2(char[],int,int,Bucket).len",Parameter_3,len,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._findSymbol2(char[],int,int,Bucket).b",Parameter_4,b,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._addSymbol(char[],int,int,int,int).buffer",Parameter_1,buffer,char[]
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._addSymbol(char[],int,int,int,int).start",Parameter_2,start,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._addSymbol(char[],int,int,int,int).len",Parameter_3,len,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._addSymbol(char[],int,int,int,int).h",Parameter_4,h,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._addSymbol(char[],int,int,int,int).index",Parameter_5,index,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._handleSpillOverflow(int,Bucket,int).bucketIndex",Parameter_1,bucketIndex,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._handleSpillOverflow(int,Bucket,int).newBucket",Parameter_2,newBucket,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._handleSpillOverflow(int,Bucket,int).mainIndex",Parameter_3,mainIndex,int
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._hashToIndex(int).rawHash,Parameter_1,rawHash,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.calcHash(char[],int,int).buffer",Parameter_1,buffer,char[]
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.calcHash(char[],int,int).start",Parameter_2,start,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.calcHash(char[],int,int).len",Parameter_3,len,int
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.calcHash(String).key,Parameter_1,key,java.lang.String
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._reportTooManyCollisions(int).maxLen,Parameter_1,maxLen,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(StreamReadConstraints,int,int).src",Parameter_1,src,com.fasterxml.jackson.core.StreamReadConstraints
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(StreamReadConstraints,int,int).factoryFeatures",Parameter_2,factoryFeatures,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(StreamReadConstraints,int,int).seed",Parameter_3,seed,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(CharsToNameCanonicalizer,StreamReadConstraints,int,int,TableInfo).parent",Parameter_1,parent,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(CharsToNameCanonicalizer,StreamReadConstraints,int,int,TableInfo).src",Parameter_2,src,com.fasterxml.jackson.core.StreamReadConstraints
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(CharsToNameCanonicalizer,StreamReadConstraints,int,int,TableInfo).factoryFeatures",Parameter_3,factoryFeatures,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(CharsToNameCanonicalizer,StreamReadConstraints,int,int,TableInfo).seed",Parameter_4,seed,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.<init>(CharsToNameCanonicalizer,StreamReadConstraints,int,int,TableInfo).parentState",Parameter_5,parentState,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket.has(char[],int,int).buf",Parameter_1,buf,char[]
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket.has(char[],int,int).start",Parameter_2,start,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket.has(char[],int,int).len",Parameter_3,len,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket.<init>(String,Bucket).s",Parameter_1,s,java.lang.String
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket.<init>(String,Bucket).n",Parameter_2,n,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo.createInitial(int).sz,Parameter_1,sz,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo.<init>(int,int,String[],Bucket[]).size",Parameter_1,size,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo.<init>(int,int,String[],Bucket[]).longestCollisionList",Parameter_2,longestCollisionList,int
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo.<init>(int,int,String[],Bucket[]).symbols",Parameter_3,symbols,java.lang.String[]
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo.<init>(int,int,String[],Bucket[]).buckets",Parameter_4,buckets,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[]
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo.<init>(CharsToNameCanonicalizer).src,Parameter_1,src,com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer
com.fasterxml.jackson.core.sym.Name2.equals(int).quad,Parameter_1,quad,int
"com.fasterxml.jackson.core.sym.Name2.equals(int,int).quad1",Parameter_1,quad1,int
"com.fasterxml.jackson.core.sym.Name2.equals(int,int).quad2",Parameter_2,quad2,int
"com.fasterxml.jackson.core.sym.Name2.equals(int,int,int).quad1",Parameter_1,quad1,int
"com.fasterxml.jackson.core.sym.Name2.equals(int,int,int).quad2",Parameter_2,quad2,int
"com.fasterxml.jackson.core.sym.Name2.equals(int,int,int).q3",Parameter_3,q3,int
"com.fasterxml.jackson.core.sym.Name2.equals(int[],int).quads",Parameter_1,quads,int[]
"com.fasterxml.jackson.core.sym.Name2.equals(int[],int).qlen",Parameter_2,qlen,int
"com.fasterxml.jackson.core.sym.Name2.<init>(String,int,int,int).name",Parameter_1,name,java.lang.String
"com.fasterxml.jackson.core.sym.Name2.<init>(String,int,int,int).hash",Parameter_2,hash,int
"com.fasterxml.jackson.core.sym.Name2.<init>(String,int,int,int).quad1",Parameter_3,quad1,int
"com.fasterxml.jackson.core.sym.Name2.<init>(String,int,int,int).quad2",Parameter_4,quad2,int
com.fasterxml.jackson.core.sym.Name3.equals(int).quad,Parameter_1,quad,int
"com.fasterxml.jackson.core.sym.Name3.equals(int,int).quad1",Parameter_1,quad1,int
"com.fasterxml.jackson.core.sym.Name3.equals(int,int).quad2",Parameter_2,quad2,int
"com.fasterxml.jackson.core.sym.Name3.equals(int,int,int).quad1",Parameter_1,quad1,int
"com.fasterxml.jackson.core.sym.Name3.equals(int,int,int).quad2",Parameter_2,quad2,int
"com.fasterxml.jackson.core.sym.Name3.equals(int,int,int).quad3",Parameter_3,quad3,int
"com.fasterxml.jackson.core.sym.Name3.equals(int[],int).quads",Parameter_1,quads,int[]
"com.fasterxml.jackson.core.sym.Name3.equals(int[],int).qlen",Parameter_2,qlen,int
"com.fasterxml.jackson.core.sym.Name3.<init>(String,int,int,int,int).name",Parameter_1,name,java.lang.String
"com.fasterxml.jackson.core.sym.Name3.<init>(String,int,int,int,int).hash",Parameter_2,hash,int
"com.fasterxml.jackson.core.sym.Name3.<init>(String,int,int,int,int).i1",Parameter_3,i1,int
