FEN:ID,:LABEL,Parameter Name,Data Type
org.apache.commons.collections4.FluentIterable.copyInto(Collection).collection,Parameter_1,collection,java.util.Collection
org.apache.commons.collections4.FluentIterable.filter(Predicate).predicate,Parameter_1,predicate,org.apache.commons.collections4.Predicate
org.apache.commons.collections4.FluentIterable.forEach(Closure).closure,Parameter_1,closure,org.apache.commons.collections4.Closure
org.apache.commons.collections4.FluentIterable.get(int).position,Parameter_1,position,int
org.apache.commons.collections4.FluentIterable.limit(long).maxSize,Parameter_1,maxSize,long
org.apache.commons.collections4.FluentIterable.skip(long).elementsToSkip,Parameter_1,elementsToSkip,long
org.apache.commons.collections4.FluentIterable.toArray(Class).arrayClass,Parameter_1,arrayClass,java.lang.Class
org.apache.commons.collections4.FluentIterable.transform(Transformer).transformer,Parameter_1,transformer,org.apache.commons.collections4.Transformer
org.apache.commons.collections4.FluentIterable.zip(Iterable).other,Parameter_1,other,java.lang.Iterable
org.apache.commons.collections4.FluentIterable.zip(Iterable[]).others,Parameter_1,others,java.lang.Iterable[]
org.apache.commons.collections4.FluentIterable.<init>(Iterable).iterable,Parameter_1,iterable,java.lang.Iterable
org.apache.commons.collections4.TransformerUtils.asTransformer(Closure).closure,Parameter_1,closure,org.apache.commons.collections4.Closure
org.apache.commons.collections4.TransformerUtils.asTransformer(Factory).factory,Parameter_1,factory,org.apache.commons.collections4.Factory
org.apache.commons.collections4.TransformerUtils.asTransformer(Predicate).predicate,Parameter_1,predicate,org.apache.commons.collections4.Predicate
org.apache.commons.collections4.TransformerUtils.chainedTransformer(Collection).transformers,Parameter_1,transformers,java.util.Collection
org.apache.commons.collections4.TransformerUtils.chainedTransformer(Transformer[]).transformers,Parameter_1,transformers,org.apache.commons.collections4.Transformer[]
org.apache.commons.collections4.TransformerUtils.constantTransformer(Object).constantToReturn,Parameter_1,constantToReturn,java.lang.Object
"org.apache.commons.collections4.TransformerUtils.ifTransformer(Predicate,Transformer,Transformer).predicate",Parameter_1,predicate,org.apache.commons.collections4.Predicate
"org.apache.commons.collections4.TransformerUtils.ifTransformer(Predicate,Transformer,Transformer).trueTransformer",Parameter_2,trueTransformer,org.apache.commons.collections4.Transformer
"org.apache.commons.collections4.TransformerUtils.ifTransformer(Predicate,Transformer,Transformer).falseTransformer",Parameter_3,falseTransformer,org.apache.commons.collections4.Transformer
"org.apache.commons.collections4.TransformerUtils.ifTransformer(Predicate,Transformer).predicate",Parameter_1,predicate,org.apache.commons.collections4.Predicate
"org.apache.commons.collections4.TransformerUtils.ifTransformer(Predicate,Transformer).trueTransformer",Parameter_2,trueTransformer,org.apache.commons.collections4.Transformer
"org.apache.commons.collections4.TransformerUtils.instantiateTransformer(Class[],Object[]).paramTypes",Parameter_1,paramTypes,java.lang.Class[]
"org.apache.commons.collections4.TransformerUtils.instantiateTransformer(Class[],Object[]).args",Parameter_2,args,java.lang.Object[]
org.apache.commons.collections4.TransformerUtils.invokerTransformer(String).methodName,Parameter_1,methodName,java.lang.String
"org.apache.commons.collections4.TransformerUtils.invokerTransformer(String,Class[],Object[]).methodName",Parameter_1,methodName,java.lang.String
"org.apache.commons.collections4.TransformerUtils.invokerTransformer(String,Class[],Object[]).paramTypes",Parameter_2,paramTypes,java.lang.Class[]
"org.apache.commons.collections4.TransformerUtils.invokerTransformer(String,Class[],Object[]).args",Parameter_3,args,java.lang.Object[]
org.apache.commons.collections4.TransformerUtils.mapTransformer(Map).map,Parameter_1,map,java.util.Map
org.apache.commons.collections4.TransformerUtils.switchMapTransformer(Map).objectsAndTransformers,Parameter_1,objectsAndTransformers,java.util.Map
org.apache.commons.collections4.TransformerUtils.switchTransformer(Map).predicatesAndTransformers,Parameter_1,predicatesAndTransformers,java.util.Map
"org.apache.commons.collections4.TransformerUtils.switchTransformer(Predicate,Transformer,Transformer).predicate",Parameter_1,predicate,org.apache.commons.collections4.Predicate
"org.apache.commons.collections4.TransformerUtils.switchTransformer(Predicate,Transformer,Transformer).trueTransformer",Parameter_2,trueTransformer,org.apache.commons.collections4.Transformer
"org.apache.commons.collections4.TransformerUtils.switchTransformer(Predicate,Transformer,Transformer).falseTransformer",Parameter_3,falseTransformer,org.apache.commons.collections4.Transformer
"org.apache.commons.collections4.TransformerUtils.switchTransformer(Predicate[],Transformer[]).predicates",Parameter_1,predicates,org.apache.commons.collections4.Predicate[]
"org.apache.commons.collections4.TransformerUtils.switchTransformer(Predicate[],Transformer[]).transformers",Parameter_2,transformers,org.apache.commons.collections4.Transformer[]
"org.apache.commons.collections4.TransformerUtils.switchTransformer(Predicate[],Transformer[],Transformer).predicates",Parameter_1,predicates,org.apache.commons.collections4.Predicate[]
