FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.jxpath.JXPathBasicBeanInfo.atomic,Field,No Comment,private boolean atomic = false;,boolean atomic,private 
org.apache.commons.jxpath.JXPathBasicBeanInfo.clazz,Field,No Comment,private final Class clazz;,java.lang.Class clazz,"private , final "
org.apache.commons.jxpath.JXPathBasicBeanInfo.dynamicPropertyHandlerClass,Field,No Comment,private Class dynamicPropertyHandlerClass;,java.lang.Class dynamicPropertyHandlerClass,private 
org.apache.commons.jxpath.JXPathBasicBeanInfo.propertyDescriptors,Field,No Comment,private transient PropertyDescriptor[] propertyDescriptors;,java.beans.PropertyDescriptor[] propertyDescriptors,"private , transient "
org.apache.commons.jxpath.JXPathBasicBeanInfo.propertyDescriptorMap,Field,No Comment,private transient HashMap propertyDescriptorMap;,java.util.HashMap propertyDescriptorMap,"private , transient "
org.apache.commons.jxpath.util.BasicTypeConverter$ValueNodeSet.values,Field,No Comment,private final List values;,java.util.List values,"private , final "
org.apache.commons.jxpath.util.BasicTypeConverter$ValueNodeSet.pointers,Field,No Comment,private List pointers;,java.util.List pointers,private 
org.apache.commons.jxpath.util.BasicTypeConverter$ValuePointer.serialVersionUID,Field,No Comment,private static final long serialVersionUID = -4817239482392206188L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.util.BasicTypeConverter$ValuePointer.bean,Field,No Comment,private final Object bean;,java.lang.Object bean,"private , final "
org.apache.commons.jxpath.util.TypeUtils.typeConverter,Field,No Comment,private static TypeConverter typeConverter = new BasicTypeConverter();,org.apache.commons.jxpath.util.TypeConverter typeConverter,"private , static "
org.apache.commons.jxpath.util.TypeUtils.PRIMITIVE_TYPE_MAP,Field,No Comment,"private static final HashMap PRIMITIVE_TYPE_MAP = new HashMap() {\n\n    private static final long serialVersionUID = 1L;\n\n    {\n        put(int.class, Integer.class);\n        put(byte.class, Byte.class);\n        put(short.class, Short.class);\n        put(char.class, Character.class);\n        put(long.class, Long.class);\n        put(float.class, Float.class);\n        put(double.class, Double.class);\n        put(boolean.class, Boolean.class);\n    }\n};",java.util.HashMap PRIMITIVE_TYPE_MAP,"private , static , final "
org.apache.commons.jxpath.util.ReverseComparator.serialVersionUID,Field,No Comment,private static final long serialVersionUID = -2795475743948616649L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.util.ReverseComparator.INSTANCE,Field,* Singleton reverse comparator instance.,public static final Comparator INSTANCE = new ReverseComparator();,java.util.Comparator INSTANCE,"public , static , final "
org.apache.commons.jxpath.util.ClassLoaderUtil.abbreviationMap,Field,* Maps a primitive class name to its corresponding abbreviation used in array class names.,private static Map abbreviationMap = new HashMap();,java.util.Map abbreviationMap,"private , static "
org.apache.commons.jxpath.util.ValueUtils.dynamicPropertyHandlerMap,Field,No Comment,private static Map dynamicPropertyHandlerMap = new HashMap();,java.util.Map dynamicPropertyHandlerMap,"private , static "
org.apache.commons.jxpath.util.ValueUtils.UNKNOWN_LENGTH_MAX_COUNT,Field,No Comment,private static final int UNKNOWN_LENGTH_MAX_COUNT = 16000;,int UNKNOWN_LENGTH_MAX_COUNT,"private , static , final "
org.apache.commons.jxpath.util.MethodLookupUtils.NO_MATCH,Field,No Comment,private static final int NO_MATCH = 0;,int NO_MATCH,"private , static , final "
org.apache.commons.jxpath.util.MethodLookupUtils.APPROXIMATE_MATCH,Field,No Comment,private static final int APPROXIMATE_MATCH = 1;,int APPROXIMATE_MATCH,"private , static , final "
org.apache.commons.jxpath.util.MethodLookupUtils.EXACT_MATCH,Field,No Comment,private static final int EXACT_MATCH = 2;,int EXACT_MATCH,"private , static , final "
org.apache.commons.jxpath.util.KeyManagerUtils$SingleNodeExtendedKeyManager.delegate,Field,No Comment,private final KeyManager delegate;,org.apache.commons.jxpath.KeyManager delegate,"private , final "
