FEN:ID,:LABEL,Parameter Name,Data Type
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa15_0(long,long,long,long).active1",Parameter_4,active1,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa16_0(long,long).old0",Parameter_1,old0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa16_0(long,long).active0",Parameter_2,active0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa17_0(long,long).old0",Parameter_1,old0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa17_0(long,long).active0",Parameter_2,active0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa18_0(long,long).old0",Parameter_1,old0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa18_0(long,long).active0",Parameter_2,active0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa19_0(long,long).old0",Parameter_1,old0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa19_0(long,long).active0",Parameter_2,active0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa20_0(long,long).old0",Parameter_1,old0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa20_0(long,long).active0",Parameter_2,active0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa21_0(long,long).old0",Parameter_1,old0,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa21_0(long,long).active0",Parameter_2,active0,long
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCheckNAdd(int).state,Parameter_1,state,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjAddStates(int,int).start",Parameter_1,start,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjAddStates(int,int).end",Parameter_2,end,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCheckNAddTwoStates(int,int).state1",Parameter_1,state1,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCheckNAddTwoStates(int,int).state2",Parameter_2,state2,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveNfa_0(int,int).startState",Parameter_1,startState,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveNfa_0(int,int).curPos",Parameter_2,curPos,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_0(int,int,int,long,long).hiByte",Parameter_1,hiByte,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_0(int,int,int,long,long).i1",Parameter_2,i1,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_0(int,int,int,long,long).i2",Parameter_3,i2,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_0(int,int,int,long,long).l1",Parameter_4,l1,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_0(int,int,int,long,long).l2",Parameter_5,l2,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_1(int,int,int,long,long).hiByte",Parameter_1,hiByte,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_1(int,int,int,long,long).i1",Parameter_2,i1,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_1(int,int,int,long,long).i2",Parameter_3,i2,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_1(int,int,int,long,long).l1",Parameter_4,l1,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_1(int,int,int,long,long).l2",Parameter_5,l2,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_2(int,int,int,long,long).hiByte",Parameter_1,hiByte,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_2(int,int,int,long,long).i1",Parameter_2,i1,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_2(int,int,int,long,long).i2",Parameter_3,i2,int
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_2(int,int,int,long,long).l1",Parameter_4,l1,long
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjCanMove_2(int,int,int,long,long).l2",Parameter_5,l2,long
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.ReInit(SimpleCharStream).stream,Parameter_1,stream,org.apache.commons.jxpath.ri.parser.SimpleCharStream
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.ReInit(SimpleCharStream,int).stream",Parameter_1,stream,org.apache.commons.jxpath.ri.parser.SimpleCharStream
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.ReInit(SimpleCharStream,int).lexState",Parameter_2,lexState,int
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.SwitchTo(int).lexState,Parameter_1,lexState,int
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.<init>(SimpleCharStream).stream,Parameter_1,stream,org.apache.commons.jxpath.ri.parser.SimpleCharStream
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.<init>(SimpleCharStream,int).stream",Parameter_1,stream,org.apache.commons.jxpath.ri.parser.SimpleCharStream
"org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.<init>(SimpleCharStream,int).lexState",Parameter_2,lexState,int
org.apache.commons.jxpath.ri.JXPathCompiledExpression.getValue(JXPathContext).context,Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.getValue(JXPathContext,Class).context",Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.getValue(JXPathContext,Class).requiredType",Parameter_2,requiredType,java.lang.Class
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.setValue(JXPathContext,Object).context",Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.setValue(JXPathContext,Object).value",Parameter_2,value,java.lang.Object
org.apache.commons.jxpath.ri.JXPathCompiledExpression.createPath(JXPathContext).context,Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.createPathAndSetValue(JXPathContext,Object).context",Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.createPathAndSetValue(JXPathContext,Object).value",Parameter_2,value,java.lang.Object
org.apache.commons.jxpath.ri.JXPathCompiledExpression.iterate(JXPathContext).context,Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.getPointer(JXPathContext,String).context",Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.getPointer(JXPathContext,String).xpath",Parameter_2,xpath,java.lang.String
org.apache.commons.jxpath.ri.JXPathCompiledExpression.iteratePointers(JXPathContext).context,Parameter_1,context,org.apache.commons.jxpath.JXPathContext
org.apache.commons.jxpath.ri.JXPathCompiledExpression.removePath(JXPathContext).context,Parameter_1,context,org.apache.commons.jxpath.JXPathContext
org.apache.commons.jxpath.ri.JXPathCompiledExpression.removeAll(JXPathContext).context,Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.<init>(String,Expression).xpath",Parameter_1,xpath,java.lang.String
"org.apache.commons.jxpath.ri.JXPathCompiledExpression.<init>(String,Expression).expression",Parameter_2,expression,org.apache.commons.jxpath.ri.compiler.Expression
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.setPropertyName(String).propertyName,Parameter_1,propertyName,java.lang.String
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.setPropertyIndex(int).index,Parameter_1,index,int
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.setValue(Object).value,Parameter_1,value,java.lang.Object
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.createPath(JXPathContext).context,Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.createPath(JXPathContext,Object).context",Parameter_1,context,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.createPath(JXPathContext,Object).value",Parameter_2,value,java.lang.Object
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.<init>(NodePointer,DynamicPropertyHandler).parent",Parameter_1,parent,org.apache.commons.jxpath.ri.model.NodePointer
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.<init>(NodePointer,DynamicPropertyHandler).handler",Parameter_2,handler,org.apache.commons.jxpath.DynamicPropertyHandler
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory.createNodePointer(QName,Object,Locale).name",Parameter_1,name,org.apache.commons.jxpath.ri.QName
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory.createNodePointer(QName,Object,Locale).bean",Parameter_2,bean,java.lang.Object
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory.createNodePointer(QName,Object,Locale).locale",Parameter_3,locale,java.util.Locale
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory.createNodePointer(NodePointer,QName,Object).parent",Parameter_1,parent,org.apache.commons.jxpath.ri.model.NodePointer
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory.createNodePointer(NodePointer,QName,Object).name",Parameter_2,name,org.apache.commons.jxpath.ri.QName
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory.createNodePointer(NodePointer,QName,Object).bean",Parameter_3,bean,java.lang.Object
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyIterator.<init>(PropertyOwnerPointer,String,boolean,NodePointer).pointer",Parameter_1,pointer,org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer
